Film,Year,Rotten Tomatoes  critics,Metacritic  critics,Average critics ,Rotten Tomatoes Audience ,Metacritic Audience ,Average audience ,Audience vs Critics deviance ,Domestic Gross,Domestic gross ($million),Foreign Gross ($million),Foreign Gross,Worldwide Gross,Worldwide Gross ($million),Budget ($million),IMDb Rating,IMDB vs RT disparity,one-hot encoding Script Type,one-hot encoding Genre,one-hot encoding Oscar Winners,vote_average
the lovely bones,2009,32,42,37.0,57,62,60.0,-23,44000000,44,50,49510000,93510000,94,65,0,0,0,27,0,6.6
coraline,2009,89,80,85.0,77,80,79.0,6,75280000,75,49,49300000,124580000,125,60,0,0,0,17,0,7.3
inkheart,2009,39,50,45.0,51,59,55.0,-11,17300000,17,45,45140000,62440000,62,60,0,0,0,15,0,6.0
invictus,2009,75,74,75.0,74,72,73.0,2,37490000,37,85,84740000,122230000,122,60,0,0,0,18,0,7.0
the soloist,2009,56,61,59.0,59,69,64.0,-6,31700000,32,7,6610000,38310000,38,60,0,0,3,18,0,6.6
duplicity,2009,64,69,67.0,38,50,44.0,23,40570000,41,38,37570000,78140000,78,60,0,0,6,21,0,5.7
year one,2009,14,34,24.0,31,47,39.0,-15,43330000,43,19,19020000,62350000,62,60,0,0,6,15,0,4.6
the pink panther 2,2009,12,36,24.0,47,51,49.0,-25,35920000,36,40,40020000,75940000,76,59,0,0,11,15,0,5.4
did you hear about the morgans?,2009,12,27,20.0,31,51,41.0,-22,29580000,30,56,55700000,85280000,85,58,0,0,6,20,0,5.1
imagine that,2009,38,54,46.0,44,57,51.0,-5,16120000,16,7,6860000,22990000,23,55,0,0,6,20,0,5.7
law abiding citizen,2009,25,34,30.0,77,66,72.0,-42,73400000,73,53,53080000,126480000,126,53,0,0,6,21,0,7.2
ghosts of girlfriends past,2009,27,34,31.0,47,49,48.0,-18,55250000,55,47,46970000,102220000,102,50,0,0,0,20,0,5.6
race to witch mountain,2009,42,52,47.0,50,68,59.0,-12,67170000,67,39,39210000,106380000,106,50,0,0,0,14,0,5.4
street fighter: the legend of chun-li,2009,16,17,17.0,28,32,30.0,-14,8740000,9,4,4020000,12340000,12,50,0,0,0,14,0,3.9
knowing,2009,33,41,37.0,50,61,56.0,-19,79950000,80,104,103630000,183580000,184,50,0,0,6,33,0,5.9
ninja assassin,2009,25,34,30.0,57,66,62.0,-32,38120000,38,23,23470000,61590000,62,50,0,0,6,14,0,6.2
the international,2009,58,52,55.0,39,64,52.0,4,25400000,25,35,34700000,60100000,60,50,0,0,6,14,0,6.0
the twilight saga: new moon,2009,27,44,36.0,78,37,58.0,-22,296620000,297,413,413200000,709820000,710,50,0,0,11,15,0,5.6
aliens in the attic,2009,30,42,36.0,46,52,49.0,-13,25200000,25,33,32680000,57880000,58,45,0,0,6,15,0,5.3
brüno,2009,68,54,61.0,48,59,54.0,8,60100000,60,79,78750000,130800000,131,42,0,0,6,20,0,5.0
cirque du freak: the vampire's assistant,2009,38,43,41.0,50,58,54.0,-14,13870000,14,25,25360000,39230000,39,40,0,0,0,14,0,5.5
fantastic mr. fox,2009,93,83,88.0,80,82,81.0,7,21000000,21,25,25460000,46460000,46,40,0,0,0,17,0,7.5
julie & julia,2009,74,66,70.0,69,73,71.0,-1,94120000,94,32,32450000,126570000,127,40,0,0,0,18,0,6.6
amelia,2009,21,37,29.0,35,58,47.0,-18,14250000,14,5,5400000,19200000,19,40,0,0,3,15,0,5.4
"i love you, man",2009,83,70,77.0,72,74,73.0,4,71400000,71,20,20200000,91400000,91,40,0,0,6,20,0,6.5
the proposal,2009,43,48,46.0,74,67,71.0,-25,163960000,164,153,153420000,314700000,315,40,0,0,6,20,0,6.7
the final destination,2009,29,30,30.0,52,48,50.0,-21,66500000,66,120,119690000,186190000,186,40,0,0,11,29,0,5.4
the time traveler's wife,2009,38,47,43.0,65,68,67.0,-24,63410000,63,38,37920000,101330000,101,39,0,0,0,26,0,6.7
the ugly truth,2009,14,28,21.0,68,50,59.0,-38,88900000,89,116,116380000,205280000,205,38,0,0,6,20,0,6.4
hannah montana: the movie,2009,44,47,46.0,66,49,58.0,-12,79580000,80,76,75970000,155550000,156,35,0,0,0,20,0,6.0
whiteout,2009,7,28,18.0,28,59,44.0,-26,10280000,10,8,7570000,12200000,12,35,0,0,0,14,0,5.3
old dogs,2009,5,19,12.0,49,45,47.0,-35,49490000,49,47,47260000,96750000,97,35,0,0,6,20,0,5.2
9,2009,57,60,59.0,58,67,63.0,-4,31740000,32,17,16670000,48410000,48,30,0,0,0,17,0,6.6
dragonball evolution,2009,15,45,30.0,28,33,31.0,-1,9360000,9,48,48130000,58230000,58,30,0,0,0,14,0,2.9
the box,2009,46,47,47.0,27,45,36.0,11,15100000,15,18,18280000,33380000,33,30,0,0,0,33,0,5.4
the haunting in connecticut,2009,17,33,25.0,51,59,55.0,-30,55390000,55,22,22130000,77520000,78,30,0,0,3,29,0,6.0
drag me to hell,2009,92,83,88.0,61,60,61.0,27,42100000,42,49,48700000,90800000,91,30,0,0,6,29,0,6.2
orphan,2009,55,42,49.0,65,75,70.0,-22,41590000,42,35,35100000,76690000,77,30,0,0,6,33,0,6.7
taking woodstock,2009,48,55,52.0,48,67,58.0,-6,7460000,7,3,2520000,9980000,10,29,0,0,0,20,0,6.2
my sister's keeper,2009,47,51,49.0,73,65,69.0,-20,49200000,49,47,46510000,95710000,96,28,0,0,0,24,0,7.1
paul blart: mall cop,2009,33,39,36.0,50,51,51.0,-15,146330000,146,37,36950000,183280000,183,26,0,0,6,14,0,5.2
he's just not that into you,2009,42,47,45.0,60,61,61.0,-16,93950000,94,85,84890000,178840000,179,25,0,0,0,20,0,6.2
the men who stare at goats,2009,52,54,53.0,43,62,53.0,1,32400000,32,37,36540000,68940000,69,25,0,0,0,20,0,5.9
the road,2009,75,64,70.0,65,75,70.0,-1,8120000,8,20,19510000,27630000,28,25,0,0,0,15,0,7.1
up in the air,2009,90,83,87.0,76,74,75.0,12,83820000,84,116,116380000,200200000,200,25,0,0,0,36,0,6.7
dance flick,2009,17,40,29.0,35,46,41.0,-12,25660000,26,6,5770000,31430000,31,25,0,0,6,14,0,4.7
taken,2009,58,50,54.0,83,77,80.0,-26,145000000,145,82,81800000,226800000,227,25,0,0,6,14,0,7.2
zombieland,2009,90,73,82.0,87,81,84.0,-3,75590000,76,27,26800000,102390000,102,24,0,0,6,20,0,7.2
the informant!,2009,78,66,72.0,42,59,51.0,22,33310000,33,8,8450000,41760000,42,22,0,0,0,20,0,6.0
away we go,2009,67,58,63.0,74,67,71.0,-8,9450000,9,5,5440000,14890000,15,21,0,0,6,20,0,6.7
everybody's fine,2009,46,47,47.0,55,73,64.0,-18,9200000,9,7,7200000,16400000,16,21,0,0,10,16,0,6.4
notorious,2009,50,60,55.0,66,54,60.0,-5,36840000,37,8,7520000,44360000,44,20,0,0,3,18,0,7.8
12 rounds,2009,30,38,34.0,52,49,51.0,-17,12230000,12,5,5050000,17280000,17,20,0,0,6,14,0,5.7
17 again,2009,55,48,52.0,70,60,65.0,-14,64200000,64,72,72100000,136300000,136,20,0,0,6,20,0,6.1
armored,2009,40,50,45.0,34,54,44.0,1,15990000,16,7,6950000,16000000,16,20,0,0,6,14,0,5.5
bandslam,2009,79,66,73.0,60,69,65.0,8,5200000,5,7,7010000,12100000,12,20,0,0,6,20,0,5.4
fired up!,2009,22,31,27.0,52,58,55.0,-29,17200000,17,1,1370000,18600000,19,20,0,0,6,20,0,6.0
the stepfather,2009,12,33,23.0,48,57,53.0,-30,29100000,29,2,2130000,31200000,31,20,0,0,10,21,0,6.6
the uninvited,2009,31,43,37.0,52,63,58.0,-21,28600000,29,13,13030000,42700000,43,20,0,0,10,29,0,7.0
the invention of lying,2009,56,58,57.0,47,58,53.0,5,18450000,18,14,13950000,32400000,32,18,0,0,6,20,0,6.0
love happens,2009,18,33,26.0,40,55,48.0,-22,22960000,23,13,13120000,36080000,36,18,0,0,6,36,0,5.6
fame,2009,25,39,32.0,43,41,42.0,-10,22460000,22,55,54760000,77210000,77,18,0,0,10,20,0,6.0
my life in ruins,2009,9,34,22.0,43,67,55.0,-34,8670000,9,12,11790000,18010000,18,17,0,0,6,20,0,5.6
jennifer's body,2009,42,47,45.0,37,55,46.0,-2,16200000,16,15,15350000,31550000,32,16,0,0,6,20,0,5.3
all about steve,2009,6,17,12.0,35,41,38.0,-27,33860000,34,6,6260000,40120000,40,15,0,0,6,20,0,4.7
halloween ii (2009),2009,20,50,35.0,45,56,51.0,-16,33390000,33,6,6020000,39410000,39,15,0,0,11,29,0,5.0
a perfect getaway,2009,61,63,62.0,50,63,57.0,6,15500000,16,7,7330000,22830000,23,14,0,0,6,15,0,6.2
my bloody valentine 3-d,2009,57,51,54.0,48,73,61.0,-7,51540000,52,49,49190000,100730000,101,14,0,0,10,29,0,5.0
gamer,2009,29,27,28.0,43,54,49.0,-21,20530000,21,20,20290000,40820000,41,12,0,0,6,14,0,5.6
sorority row,2009,22,24,23.0,38,57,48.0,-25,11970000,12,15,15240000,27210000,27,12,0,0,10,29,0,5.3
the fourth kind,2009,18,34,26.0,44,57,51.0,-25,25480000,25,22,22220000,47700000,48,10,0,0,3,33,0,5.8
adventureland,2009,89,76,83.0,56,69,63.0,20,16040000,16,1,1120000,17160000,17,10,0,0,6,20,0,6.4
an education,2009,94,85,90.0,78,79,79.0,11,12570000,13,14,13520000,26090000,26,8,0,0,0,24,0,6.9
extract,2009,62,61,62.0,37,60,49.0,13,10800000,11,0,30000,10830000,11,8,0,0,6,20,0,5.7
a serious man,2009,89,79,84.0,64,66,65.0,19,9230000,9,22,22200000,31430000,31,7,0,0,6,20,0,6.6
not easily broken,2009,34,43,39.0,66,58,62.0,-24,10600000,11,0,140000,10700000,11,5,0,0,0,36,0,6.3
sunshine cleaning,2009,72,61,67.0,59,64,62.0,5,12060000,12,5,4510000,16570000,17,5,0,0,6,20,0,6.5
toy story 3,2010,99,92,96.0,91,91,91.0,5,415000000,415,648,648160000,0,1063,200,0,0,11,17,1,7.6
the king's speech,2010,95,88,92.0,93,83,88.0,4,138790000,139,275,275410000,0,414,15,0,0,3,18,1,7.6
black swan,2010,88,79,84.0,86,80,83.0,1,106950000,107,222,222440000,0,329,13,0,0,6,33,0,7.3
tangled,2010,89,71,80.0,88,82,85.0,-5,200820000,201,391,390970000,0,592,260,0,0,0,17,0,7.4
prince of persia: the sands of time,2010,36,50,43.0,71,74,73.0,-30,90760000,91,246,245610000,0,336,200,0,0,0,14,0,6.2
robin hood,2010,42,53,48.0,59,62,61.0,-13,105270000,105,216,216400000,0,322,200,0,0,0,14,0,7.0
iron man 2,2010,74,57,66.0,80,66,73.0,-8,312430000,312,312,311500000,0,624,200,0,0,11,14,0,6.6
tron: legacy,2010,50,49,50.0,67,71,69.0,-20,172060000,172,228,228000000,0,400,170,0,0,11,14,0,6.3
how to train your dragon,2010,98,74,86.0,90,88,89.0,-3,217580000,218,277,277300000,0,495,165,0,0,0,17,0,7.5
inception,2010,86,74,80.0,93,86,90.0,-10,292580000,293,533,532960000,0,826,160,0,0,6,14,0,8.1
the last airbender,2010,6,20,13.0,42,27,35.0,-22,131770000,132,188,187940000,0,320,150,0,0,0,14,0,4.7
the sorcerer's apprentice,2010,42,46,44.0,57,62,60.0,-16,63150000,63,152,152130000,0,215,150,0,0,0,14,0,5.9
the wolfman,2010,33,43,38.0,38,51,45.0,-7,61980000,62,78,77810000,0,140,150,0,0,10,29,0,5.5
megamind,2010,72,63,68.0,73,73,73.0,-6,148420000,148,173,173470000,0,322,130,0,0,6,17,0,6.7
clash of the titans,2010,28,39,34.0,48,48,48.0,-15,163210000,163,330,330000000,0,493,125,0,0,10,14,0,6.8
harry potter and the deathly hallows part 1,2010,79,65,72.0,87,75,81.0,-9,295000000,295,664,664300000,0,959,125,0,0,11,15,0,5.0
knight and day,2010,53,46,50.0,52,64,58.0,-9,76420000,76,186,185510000,0,262,117,0,0,6,14,0,5.9
gulliver's travels,2010,21,33,27.0,31,44,38.0,-11,42780000,43,195,194600000,0,237,112,0,0,0,15,0,6.3
salt,2010,62,65,64.0,62,65,64.0,0,118310000,118,175,175190000,0,294,110,0,0,6,14,0,6.2
green zone,2010,53,63,58.0,60,66,63.0,-5,35050000,35,60,59830000,0,95,100,0,0,0,14,0,6.4
the a-team,2010,47,47,47.0,71,72,72.0,-25,77220000,77,100,100020000,0,177,100,0,0,0,14,0,6.2
the tourist,2010,20,37,29.0,44,51,48.0,-19,67630000,68,211,210720000,0,278,100,0,0,6,14,0,6.0
little fockers,2010,9,27,18.0,40,42,41.0,-23,148440000,148,162,162210000,0,311,100,0,0,11,20,0,5.5
sex and the city 2,2010,15,27,21.0,49,41,45.0,-24,95350000,95,193,193000000,0,288,100,0,0,11,20,0,5.5
percy jackson & the olympians: the lightning thief,2010,50,47,49.0,57,52,55.0,-6,88770000,89,138,137730000,0,226,95,0,0,0,15,0,6.0
unstoppable,2010,86,69,78.0,73,68,71.0,7,81560000,82,86,86240000,0,168,95,0,0,3,14,0,4.9
cats & dogs: the revenge of kitty galore,2010,13,30,22.0,43,52,48.0,-26,43590000,44,69,68900000,0,112,85,0,0,11,14,0,5.0
the expendables,2010,40,45,43.0,58,63,61.0,-18,103070000,103,171,171400000,0,274,82,0,0,6,14,0,6.0
edge of darkness,2010,55,55,55.0,56,67,62.0,-7,43310000,43,38,37810000,0,81,80,0,0,0,21,0,6.2
legend of the guardians: the owls of ga'hoole,2010,51,53,52.0,65,69,67.0,-15,55680000,56,84,84400000,0,140,80,0,0,0,17,0,6.5
shutter island,2010,68,63,66.0,73,77,75.0,-10,128010000,128,167,166790000,0,295,80,0,0,0,33,0,7.8
yogi bear,2010,14,35,25.0,36,43,40.0,-15,100250000,100,101,101340000,0,202,80,0,0,0,17,0,5.2
grown ups,2010,10,30,20.0,59,50,55.0,-35,162000000,162,109,109430000,0,271,80,0,0,6,20,0,6.0
the book of eli,2010,48,53,51.0,68,73,71.0,-20,94840000,95,62,62270000,0,157,80,0,0,6,14,0,6.6
killers,2010,11,21,16.0,45,38,42.0,-26,47060000,47,51,51100000,0,98,75,0,0,6,14,0,5.7
wall street: money never sleeps,2010,54,59,57.0,43,58,51.0,6,52470000,52,82,82270000,0,135,70,0,0,11,23,0,5.8
despicable me,2010,81,72,77.0,81,76,79.0,-2,251510000,252,292,291600000,0,543,69,0,0,6,17,0,7.1
the twilight saga: eclipse,2010,50,58,54.0,74,47,61.0,-7,300530000,301,398,397960000,0,698,68,0,0,11,15,0,5.9
eat pray love,2010,36,50,43.0,46,48,47.0,-4,80570000,81,124,124020000,0,205,60,0,0,0,36,0,5.8
scott pilgrim vs. the world,2010,81,69,75.0,83,80,82.0,-7,31520000,32,16,16140000,0,48,60,0,0,0,14,0,7.2
red,2010,71,60,66.0,72,70,71.0,-6,90380000,90,109,108630000,0,199,58,0,0,0,14,0,6.9
burlesque,2010,36,47,42.0,66,66,66.0,-25,39440000,39,50,50080000,0,90,55,0,0,6,32,0,6.9
date night,2010,66,56,61.0,58,58,58.0,3,98710000,99,54,53550000,0,152,55,0,0,6,20,0,5.9
life as we know it,2010,28,39,34.0,62,55,59.0,-25,53130000,53,43,43030000,0,96,52274,0,0,6,20,0,6.6
from paris with love,2010,38,42,40.0,57,66,62.0,-22,24080000,24,29,28750000,0,53,52,0,0,6,14,0,6.2
valentine's day,2010,17,34,26.0,54,50,52.0,-27,110490000,110,106,106000000,0,216,52,0,0,6,20,0,5.7
due date,2010,40,51,46.0,56,63,60.0,-14,100540000,101,111,111240000,0,212,50,0,0,6,20,0,6.2
jonah hex,2010,13,33,23.0,24,46,35.0,-12,10550000,11,0,360000,0,11,47,0,0,0,14,0,4.5
morning glory,2010,54,57,56.0,54,66,60.0,-5,31010000,31,29,29030000,0,60,40,0,0,6,20,0,5.7
the bounty hunter,2010,7,22,15.0,41,37,39.0,-25,67060000,67,69,69270000,0,136,40,0,0,6,14,0,5.6
the karate kid,2010,66,61,64.0,75,68,72.0,-8,176590000,177,183,182530000,0,359,40,0,0,10,14,0,6.9
predators,2010,64,51,58.0,52,63,58.0,0,52000000,52,75,75230000,0,127,40,0,0,11,14,0,6.0
true grit,2010,96,80,88.0,86,78,82.0,6,171240000,171,81,81030000,0,252,38,0,0,0,15,0,7.3
the town,2010,94,74,84.0,83,77,80.0,4,92190000,92,62,61840000,0,154,37,0,0,0,21,0,7.0
hot tub time machine,2010,64,63,64.0,57,64,61.0,3,50290000,50,14,14280000,0,65,36,0,0,6,15,0,5.9
a nightmare on elm street,2010,13,35,24.0,40,53,47.0,-23,63080000,63,53,52590000,0,116,35,0,0,10,29,0,7.2
nanny mcphee returns,2010,77,52,65.0,54,51,53.0,12,29010000,29,64,64230000,0,93,35,0,0,11,20,0,5.0
repo men,2010,22,32,27.0,43,56,50.0,-23,13790000,14,5,4620000,0,18,32,0,0,0,14,0,6.2
going the distance,2010,53,51,52.0,56,55,56.0,-4,17800000,18,24,24250000,0,42,32,0,0,6,20,0,5.4
takers,2010,27,45,36.0,57,57,57.0,-21,57740000,58,11,11310000,0,69,32,0,0,6,14,0,6.1
extraordinary measures,2010,27,45,36.0,55,67,61.0,-25,12070000,12,3,3070000,0,15,31,0,0,3,23,0,6.0
kick-ass,2010,76,66,71.0,83,83,83.0,-12,48070000,48,48,48120000,0,96,30,0,0,0,14,0,7.1
love & other drugs,2010,48,55,52.0,55,61,58.0,-7,32370000,32,70,70440000,0,103,30,0,0,0,20,0,6.6
cop out,2010,19,31,25.0,45,51,48.0,-23,44880000,45,11,10710000,0,56,30,0,0,6,14,0,5.3
the next three days,2010,51,52,52.0,66,69,68.0,-16,21150000,21,46,46300000,0,67,30,0,0,10,21,0,6.9
case 39,2010,23,25,24.0,42,57,50.0,-26,13260000,13,15,14930000,0,28,26,0,0,6,29,0,6.1
legion,2010,19,32,26.0,36,44,40.0,-15,40170000,40,28,27750000,0,68,26,0,0,6,14,0,5.2
dear john,2010,29,43,36.0,66,59,63.0,-27,80010000,80,35,34960000,0,115,25,0,0,0,36,0,6.6
the losers,2010,47,44,46.0,55,65,60.0,-15,23590000,24,6,5790000,0,29,25,0,0,0,14,0,6.2
the fighter,2010,91,79,85.0,88,81,85.0,1,93620000,94,36,35540000,0,129,25,0,0,3,18,0,7.2
greenberg,2010,75,76,76.0,40,52,46.0,30,4230000,4,2,1920000,0,6,25,0,0,6,20,0,6.0
faster,2010,41,44,43.0,50,67,59.0,-16,23240000,23,12,12390000,0,36,24,0,0,6,14,0,6.1
piranha 3-d,2010,74,53,64.0,45,57,51.0,13,25000000,25,58,58190000,0,83,24,0,0,10,20,0,5.0
you will meet a tall dark stranger,2010,43,51,47.0,35,66,51.0,-4,3240000,3,31,31030000,0,34,22,0,0,6,20,0,5.8
for colored girls,2010,33,50,42.0,73,66,70.0,-28,37730000,38,17,17320000,0,55,21,0,0,0,23,0,7.0
death at a funeral,2010,40,51,46.0,48,51,50.0,-4,42740000,43,6,6310000,0,49,21,0,0,10,20,0,6.9
the american,2010,66,61,64.0,37,60,49.0,15,35610000,36,32,32270000,0,68,20,0,0,0,21,0,5.8
the last song,2010,19,33,26.0,66,45,56.0,-30,62950000,63,26,26090000,0,89,20,0,0,0,36,0,7.0
alpha and omega,2010,17,36,27.0,41,53,47.0,-21,25110000,25,25,25400000,0,51,20,0,0,6,17,0,5.3
daybreakers,2010,67,57,62.0,50,60,55.0,7,30100000,30,21,21310000,0,51,20,0,0,6,14,0,6.0
machete,2010,73,60,67.0,66,67,67.0,0,26590000,27,18,17500000,0,44,20,0,0,6,14,0,6.3
she's out of my league,2010,57,46,52.0,60,68,64.0,-13,32010000,32,18,17770000,0,50,20,0,0,6,20,0,5.9
you again,2010,18,28,23.0,45,53,49.0,-26,25700000,26,6,6300000,0,32,20,0,0,6,20,0,6.0
the crazies,2010,72,55,64.0,54,70,62.0,2,39120000,39,16,15680000,0,55,20,0,0,10,29,0,6.0
jackass 3-d,2010,63,56,60.0,72,74,73.0,-14,117230000,117,54,54460000,0,172,20,0,0,11,22,0,5.0
saw 3-d,2010,10,24,17.0,47,54,51.0,-34,45710000,46,90,90440000,0,136,20,0,0,11,21,0,5.0
why did i get married too?,2010,27,43,35.0,67,65,66.0,-31,60090000,60,1,580000,0,61,20,0,0,11,20,0,6.1
127 hours,2010,93,82,88.0,84,79,82.0,6,18330000,18,42,42400000,0,61,18,0,0,0,15,0,7.0
youth in revolt,2010,68,63,66.0,52,66,59.0,7,15280000,15,4,4370000,0,20,18,0,0,6,20,0,5.9
brooklyn's finest,2010,42,43,43.0,47,54,51.0,-8,27160000,27,9,9280000,0,36,17,0,0,6,21,0,6.2
remember me,2010,28,40,34.0,70,80,75.0,-41,19070000,19,37,36960000,0,56,16,0,0,6,36,0,6.9
diary of a wimpy kid,2010,53,56,55.0,49,66,58.0,-3,64000000,64,12,11700000,0,76,15,0,0,0,20,0,5.9
never let me go,2010,70,69,70.0,70,74,72.0,-3,2430000,2,7,7020000,0,9,15,0,0,0,36,0,6.8
i love you phillip morris,2010,71,65,68.0,57,65,61.0,7,2040000,2,19,18690000,0,21,15,0,0,3,20,0,6.4
solitary man,2010,81,69,75.0,47,54,51.0,25,4360000,4,1,820000,0,5,15,0,0,6,20,0,5.8
our family wedding,2010,14,38,26.0,49,55,52.0,-26,20260000,20,1,1150000,0,21,14,0,0,6,20,0,5.7
conviction,2010,68,61,65.0,71,70,71.0,-6,6790000,7,3,2920000,0,10,12,0,0,6,18,0,7.0
just wright,2010,45,51,48.0,58,54,56.0,-8,21540000,22,0,30000,0,22,12,0,0,6,20,0,6.0
macgruber,2010,47,43,45.0,33,60,47.0,-2,8530000,9,1,800000,0,9,10,0,0,0,14,0,5.1
the runaways,2010,68,65,67.0,56,71,64.0,3,3570000,4,1,1110000,0,5,10,0,0,0,18,0,6.3
devil,2010,52,44,48.0,45,63,54.0,-6,33600000,34,29,29090000,0,63,10,0,0,6,29,0,5.8
skyline,2010,16,26,21.0,19,34,27.0,-6,21390000,21,45,45430000,0,67,10,0,0,6,14,0,4.7
the joneses,2010,61,55,58.0,47,68,58.0,1,1480000,1,0,490000,0,2,10,0,0,6,20,0,6.1
easy a,2010,85,72,79.0,75,73,74.0,5,58400000,58,17,16550000,0,75,8,0,0,0,20,0,6.7
city island,2010,81,66,74.0,77,83,80.0,-7,6670000,7,1,1200000,0,8,6,0,0,6,20,0,6.9
the kids are all right,2010,94,86,90.0,72,73,73.0,18,20810000,21,14,13890000,0,35,4,0,0,6,20,0,6.5
please give,2010,88,78,83.0,62,74,68.0,15,4030000,4,0,280000,0,4,3,0,0,6,20,0,6.0
paranormal activity 2,2010,0,53,53.0,0,58,58.0,-5,84750000,85,93,92760000,0,178,3,0,0,11,29,0,5.7
winter's bone,2010,94,90,92.0,73,73,73.0,19,6530000,7,7,7300000,0,14,2,0,0,0,23,0,6.8
the last exorcism,2010,73,63,68.0,32,61,47.0,22,41030000,41,27,26700000,0,68,2,0,0,6,29,0,5.6
when in rome,2010,15,25,20.0,44,47,46.0,-26,32680000,33,10,10360000,0,43,1,0,0,6,20,0,5.7
rango,2011,88,75,82.0,69,74,72.0,10,123480000,123,122,122250000,245730000,246,135,0,0,6,17,1,6.6
the help,2011,75,62,69.0,91,78,85.0,-16,169710000,170,47,46930000,216640000,217,25,0,0,0,23,1,7.9
the descendants,2011,89,84,87.0,88,76,82.0,5,82580000,83,95,94660000,177240000,177,20,0,0,0,20,1,6.7
midnight in paris,2011,93,81,87.0,84,78,81.0,6,56820000,57,94,94300000,151120000,151,17,0,0,6,20,1,7.4
the artist,2011,97,89,93.0,91,79,85.0,8,44671000,45,88761,88761000,133432000,133,16,0,0,6,20,1,7.3
the iron lady,2011,53,54,54.0,54,61,58.0,-4,30017000,30,84938,84938000,114955000,115,13,0,0,3,18,1,6.2
beginners,2011,84,81,83.0,80,73,77.0,6,5790000,6,9,8520000,14310000,14,3,0,0,3,20,1,6.8
pirates of the caribbean: on stranger tides,2011,34,45,40.0,61,64,63.0,-23,241070000,241,805,804640000,1045710000,1046,250,0,0,11,14,0,6.4
cars 2,2011,38,57,48.0,56,59,58.0,-10,191450000,191,368,368400000,559850000,560,200,0,0,11,17,0,5.8
transformers: dark of the moon,2011,35,42,39.0,67,57,62.0,-24,352390000,352,771,771400000,1123790000,1124,195,0,0,11,14,0,6.1
cowboys and aliens,2011,44,50,47.0,50,60,55.0,-8,100240000,100,75,74580000,174820000,175,163,0,0,0,14,0,5.0
x-men: first class,2011,87,65,76.0,88,78,83.0,-7,146410000,146,207,207220000,353630000,354,160,0,0,11,14,0,7.1
hugo,2011,93,83,88.0,84,75,80.0,9,73864000,74,111905,111905000,185769000,186,150,0,0,0,15,0,7.0
mars needs moms,2011,36,49,43.0,43,56,50.0,-7,21390000,21,18,17600000,38990000,39,150,0,0,0,17,0,5.6
thor,2011,77,57,67.0,80,69,75.0,-8,181030000,181,268,268290000,449320000,449,150,0,0,0,14,0,6.6
arthur christmas,2011,92,69,81.0,82,74,78.0,3,46460000,46,101,100950000,147410000,147,150,0,0,6,17,0,6.7
mission impossible 4,2011,93,73,83.0,86,76,81.0,2,209390000,209,485,485320000,694710000,695,145,0,0,11,14,0,5.0
captain america: the first avenger,2011,78,66,72.0,75,69,72.0,0,176650000,177,194,193920000,370570000,371,140,0,0,0,14,0,6.6
happy feet 2,2011,41,50,46.0,59,56,58.0,-12,64010000,64,86,86400000,150410000,150,135,0,0,11,17,0,5.0
the adventures of tintin,2011,74,68,71.0,78,77,78.0,-7,77591000,78,296402,296402000,373993000,374,130,0,0,0,17,0,6.7
fast five,2011,78,67,73.0,83,74,79.0,-6,209400000,209,416,416300000,626130000,626,125,0,0,11,14,0,7.1
sherlock holmes 2,2011,60,48,54.0,79,74,77.0,-23,186850000,187,359,358600000,545450000,545,125,0,0,11,14,0,5.0
the green hornet,2011,44,39,42.0,47,57,52.0,-11,98780000,99,129,129040000,227820000,228,120,0,0,0,14,0,5.5
real steel,2011,58,56,57.0,81,71,76.0,-19,85470000,85,214,213800000,299270000,299,110,0,0,0,14,0,6.6
the smurfs,2011,23,30,27.0,50,44,47.0,-21,142610000,143,421,421140000,563750000,564,110,0,0,0,17,0,5.5
conan the barbarian,2011,22,36,29.0,34,53,44.0,-15,21300000,21,28,27500000,48800000,49,90,0,0,0,14,0,6.6
the girl with the dragon tattoo,2011,87,71,79.0,89,80,85.0,-6,102060000,102,130101,130101000,232161000,232,90,0,0,0,21,0,7.4
rio,2011,71,63,67.0,73,72,73.0,-6,143620000,144,341,341020000,484640000,485,90,0,0,6,17,0,6.5
sucker punch,2011,23,33,28.0,48,61,55.0,-27,36390000,36,53,53400000,89790000,90,82,0,0,6,14,0,5.9
just go with it,2011,19,33,26.0,63,64,64.0,-38,103030000,103,112,111920000,214950000,215,80,0,0,0,20,0,6.3
zookeeper,2011,14,30,22.0,42,42,42.0,-20,80360000,80,89,89490000,169850000,170,80,0,0,6,20,0,5.3
the hangover part ii,2011,35,44,40.0,58,56,57.0,-18,254460000,254,332,332300000,586760000,587,80,0,0,11,20,0,6.2
immortals,2011,36,46,41.0,59,60,60.0,-19,83500000,84,143,143400000,226900000,227,75,0,0,0,14,0,5.7
the three musketeers,2011,24,35,30.0,48,51,50.0,-20,20370000,20,112,111900000,132270000,132,75,0,0,0,14,0,6.2
tower heist,2011,68,59,64.0,61,61,61.0,3,78040000,78,75,74880000,152920000,153,75,0,0,6,14,0,5.8
killer elite,2011,25,44,35.0,48,57,53.0,-18,25120000,25,31,31260000,56380000,56,70,0,0,0,14,0,6.1
battle: los angeles,2011,35,37,36.0,50,58,54.0,-18,83550000,84,128,128270000,211820000,212,70,0,0,3,14,0,5.5
